Year,Vital_Statistic,Total,Description
1911,Crude Birth Rate,19.4,Peninsular Malaysia
1912,Crude Birth Rate,23.5,Peninsular Malaysia
1913,Crude Birth Rate,23.1,Peninsular Malaysia
1914,Crude Birth Rate,24.6,Peninsular Malaysia
1915,Crude Birth Rate,25.3,Peninsular Malaysia
1916,Crude Birth Rate,24.2,Peninsular Malaysia
1917,Crude Birth Rate,27.9,Peninsular Malaysia
1918,Crude Birth Rate,25.8,Peninsular Malaysia
1919,Crude Birth Rate,24.6,Peninsular Malaysia
1920,Crude Birth Rate,27.1,Peninsular Malaysia
1921,Crude Birth Rate,27.2,Peninsular Malaysia
1922,Crude Birth Rate,25.5,Peninsular Malaysia
1923,Crude Birth Rate,25.3,Peninsular Malaysia
1924,Crude Birth Rate,27.3,Peninsular Malaysia
1925,Crude Birth Rate,28.1,Peninsular Malaysia
1926,Crude Birth Rate,,Not Available
1927,Crude Birth Rate,30.5,Peninsular Malaysia
1928,Crude Birth Rate,32.5,Peninsular Malaysia
1929,Crude Birth Rate,32.4,Peninsular Malaysia
1930,Crude Birth Rate,36.5,Peninsular Malaysia
1931,Crude Birth Rate,33.3,Peninsular Malaysia
1932,Crude Birth Rate,34,Peninsular Malaysia
1933,Crude Birth Rate,35.5,Peninsular Malaysia
1934,Crude Birth Rate,35.4,Peninsular Malaysia
1935,Crude Birth Rate,35.9,Peninsular Malaysia
1936,Crude Birth Rate,38.7,Peninsular Malaysia
1937,Crude Birth Rate,37.8,Peninsular Malaysia
1938,Crude Birth Rate,39.7,Peninsular Malaysia
1939,Crude Birth Rate,41,Peninsular Malaysia
1940,Crude Birth Rate,39.7,Peninsular Malaysia
1941,Crude Birth Rate,,Not Available
1942,Crude Birth Rate,,Not Available
1943,Crude Birth Rate,,Not Available
1944,Crude Birth Rate,,Not Available
1945,Crude Birth Rate,,Not Available
1946,Crude Birth Rate,,Not Available
1947,Crude Birth Rate,43,Peninsular Malaysia
1948,Crude Birth Rate,40.4,Peninsular Malaysia
1949,Crude Birth Rate,43.8,Peninsular Malaysia
1950,Crude Birth Rate,42,Peninsular Malaysia
1951,Crude Birth Rate,43.6,Peninsular Malaysia
1952,Crude Birth Rate,44.4,Peninsular Malaysia
1953,Crude Birth Rate,43.7,Peninsular Malaysia
1954,Crude Birth Rate,43.8,Peninsular Malaysia
1955,Crude Birth Rate,43,Peninsular Malaysia
1956,Crude Birth Rate,45.5,Peninsular Malaysia
1957,Crude Birth Rate,46.2,Peninsular Malaysia
1958,Crude Birth Rate,43.3,Peninsular Malaysia
1959,Crude Birth Rate,42.1,Peninsular Malaysia
1960,Crude Birth Rate,40.9,Peninsular Malaysia
1961,Crude Birth Rate,41.8,Peninsular Malaysia
1962,Crude Birth Rate,40.4,Peninsular Malaysia
1963,Crude Birth Rate,38.1,Malaysia
1964,Crude Birth Rate,38.2,Malaysia
1965,Crude Birth Rate,36.1,Malaysia
1966,Crude Birth Rate,36.7,Malaysia
1967,Crude Birth Rate,34.9,Malaysia
1968,Crude Birth Rate,35.2,Malaysia
1969,Crude Birth Rate,33.3,Malaysia
1970,Crude Birth Rate,32.4,Malaysia
1971,Crude Birth Rate,32.8,Malaysia
1972,Crude Birth Rate,32.2,Malaysia
1973,Crude Birth Rate,31.1,Malaysia
1974,Crude Birth Rate,31.3,Malaysia
1975,Crude Birth Rate,30.7,Malaysia
1976,Crude Birth Rate,30.9,Malaysia
1977,Crude Birth Rate,30.3,Malaysia
1978,Crude Birth Rate,29.7,Malaysia
1979,Crude Birth Rate,30.4,Malaysia
1980,Crude Birth Rate,30.6,Malaysia
1981,Crude Birth Rate,31.2,Malaysia
1982,Crude Birth Rate,31,Malaysia
1983,Crude Birth Rate,30.2,Malaysia
1984,Crude Birth Rate,31,Malaysia
1985,Crude Birth Rate,31.5,Malaysia
1986,Crude Birth Rate,30.6,Malaysia
1987,Crude Birth Rate,29.3,Malaysia
1988,Crude Birth Rate,29.7,Malaysia
1989,Crude Birth Rate,26.8,Malaysia
1990,Crude Birth Rate,27.9,Malaysia
1991,Crude Birth Rate,27.6,Malaysia
1992,Crude Birth Rate,27.7,Malaysia
1993,Crude Birth Rate,27.6,Malaysia
1994,Crude Birth Rate,26.7,Malaysia
1995,Crude Birth Rate,26.1,Malaysia
1996,Crude Birth Rate,25.6,Malaysia
1997,Crude Birth Rate,24.8,Malaysia
1998,Crude Birth Rate,23.5,Malaysia
1999,Crude Birth Rate,22.8,Malaysia
2000,Crude Birth Rate,22.9,Malaysia
2001,Crude Birth Rate,21,Malaysia
2002,Crude Birth Rate,20.2,Malaysia
2003,Crude Birth Rate,19.2,Malaysia
2004,Crude Birth Rate,18.9,Malaysia
2005,Crude Birth Rate,18.2,Malaysia
2006,Crude Birth Rate,17.8,Malaysia
2007,Crude Birth Rate,17.7,Malaysia
2008,Crude Birth Rate,17.9,Malaysia
2009,Crude Birth Rate,17.9,Malaysia
2010,Crude Birth Rate,17.2,Malaysia
2011,Crude Birth Rate,17.6,Malaysia
2012,Crude Birth Rate,17.8,Malaysia
2013,Crude Birth Rate,16.7,Malaysia
2014,Crude Birth Rate,16.7,Malaysia Preliminary
 